season,year,month,hour,holiday,weekday,workingday,weather,temp,atemp,humidity,windspeed,count
2,1,4,0,0,4,1,1,0.52,0.5,0.23,0.4179,45
1,0,2,2,0,1,1,1,0.2,0.2576,0.8,0,3
3,1,7,21,0,2,1,1,0.74,0.697,0.66,0.2239,378
2,1,4,5,0,4,1,1,0.3,0.2879,0.61,0.2239,21
4,0,10,3,0,0,0,1,0.44,0.4394,0.88,0,30
3,0,9,6,0,3,1,2,0.54,0.5152,1,0.194,117
4,0,10,21,0,4,1,1,0.62,0.5758,0.83,0.194,123
3,1,7,22,0,3,1,1,0.72,0.6667,0.58,0.2537,244
1,0,3,17,0,1,1,1,0.38,0.3939,0.4,0.194,271
2,1,4,9,0,1,1,1,0.38,0.3939,0.54,0.3582,317
4,0,10,8,0,0,0,2,0.34,0.3333,0.76,0.194,64
1,0,2,8,0,1,1,1,0.38,0.3939,0.4,0.4627,256
3,0,9,10,0,2,1,3,0.56,0.5303,0.88,0.1642,30
2,0,4,2,0,0,0,1,0.5,0.4848,0.88,0.194,72
2,0,4,0,0,1,1,3,0.52,0.5,1,0,12
3,0,8,21,0,1,1,1,0.64,0.6212,0.53,0.194,202
2,0,6,19,0,6,0,2,0.74,0.6667,0.51,0.1045,326
4,0,11,18,0,3,1,2,0.4,0.4091,0.58,0.5224,145
2,1,3,18,0,1,1,1,0.44,0.4394,0.26,0.4478,684
4,0,10,20,0,5,1,2,0.44,0.4394,0.54,0.2239,184
3,0,7,4,0,2,1,1,0.72,0.6818,0.7,0.1343,5
4,0,12,6,0,6,0,1,0.24,0.2576,0.65,0.1045,11
4,0,9,5,0,2,1,3,0.62,0.5455,0.94,0.0896,24
4,1,10,16,0,5,1,1,0.46,0.4545,0.41,0.3582,520
4,1,11,22,0,5,1,1,0.36,0.3333,0.46,0.2537,149
3,0,9,13,1,1,0,2,0.74,0.697,0.7,0.1343,389
2,0,3,13,0,3,1,2,0.36,0.3485,0.46,0.2239,98
2,0,4,12,0,5,1,3,0.34,0.3333,0.76,0.1343,80
1,0,2,14,0,6,0,1,0.46,0.4545,0.15,0.6567,196
2,1,4,0,0,4,1,3,0.42,0.4242,0.77,0,25
1,0,2,4,0,0,0,2,0.2,0.2121,0.69,0.1642,2
2,0,4,19,0,2,1,2,0.5,0.4848,0.72,0.194,276
1,1,12,2,1,2,0,2,0.26,0.2576,0.87,0.1642,7
3,0,7,14,0,5,1,1,0.96,0.8636,0.3,0.2239,148
4,0,11,0,0,5,1,2,0.4,0.4091,0.82,0,43
1,1,2,12,0,5,1,2,0.4,0.4091,0.76,0.1343,228
1,0,2,11,0,6,0,3,0.22,0.2273,1,0.1343,47
2,1,6,21,0,3,1,1,0.84,0.7576,0.44,0.0896,344
4,1,12,7,0,3,1,3,0.46,0.4545,0.59,0.2985,398
1,0,1,19,0,0,0,1,0.18,0.197,0.47,0.1343,61
3,0,9,21,0,2,1,1,0.56,0.5303,0.94,0,206
2,1,6,13,0,4,1,1,0.68,0.6364,0.57,0.1642,284
3,1,6,13,0,4,1,1,0.86,0.7424,0.26,0.2239,236
4,1,11,19,0,2,1,2,0.4,0.4091,0.71,0,384
4,0,12,4,0,4,1,2,0.24,0.197,0.6,0.4627,2
1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,5
